lat,Clusters,lon
33.955,Cluster 1,-118.3556
33.9504,Cluster 1,-116.9701
33.9416,Cluster 1,-118.1306
33.9377,Cluster 1,-118.3321
33.9331,Cluster 1,-117.9493
33.9315,Cluster 1,-117.4119
33.9291,Cluster 1,-117.8845
33.9143,Cluster 1,-118.3493
33.9067,Cluster 1,-118.0101
33.8969,Cluster 1,-118.1632
33.8873,Cluster 1,-117.8946
33.8814,Cluster 1,-117.2261
33.8797,Cluster 1,-117.5354
33.8766,Cluster 1,-118.2835
33.8748,Cluster 1,-118.2402
33.8669,Cluster 1,-118.0686
33.8544,Cluster 1,-117.7858
33.8512,Cluster 1,-118.1457
33.8428,Cluster 1,-117.9546
33.8263,Cluster 1,-117.8511
33.8241,Cluster 1,-117.5198
33.823,Cluster 1,-118.2684
33.8181,Cluster 1,-118.0357
33.811,Cluster 1,-117.8493
33.8106,Cluster 1,-118.3507
33.8029,Cluster 1,-118.1677
33.8018,Cluster 1,-116.517
33.7991,Cluster 1,-117.9956
33.7852,Cluster 1,-117.3166
33.7671,Cluster 1,-117.929
33.7643,Cluster 1,-116.4225
33.754,Cluster 1,-117.7919
33.7532,Cluster 1,-116.2676
33.7524,Cluster 1,-117.9939
33.7399,Cluster 1,-117.0151
33.7346,Cluster 1,-117.7869
33.7339,Cluster 1,-118.2914
33.7249,Cluster 1,-117.909
33.721,Cluster 1,-118.0033
33.7009,Cluster 1,-117.7564
33.6801,Cluster 1,-117.9085
33.6685,Cluster 1,-116.3081
33.6654,Cluster 1,-117.9686
33.6598,Cluster 1,-117.3485
33.6437,Cluster 1,-117.6868
33.6144,Cluster 1,-117.6433
33.6103,Cluster 1,-117.7253
33.5631,Cluster 1,-117.2738
33.5145,Cluster 1,-117.7084
33.4983,Cluster 1,-117.0958
33.2407,Cluster 1,-117.3025
33.1968,Cluster 1,-117.2831
33.1644,Cluster 1,-117.2403
33.1444,Cluster 1,-117.1697
33.1388,Cluster 1,-117.052
33.0895,Cluster 1,-117.1128
33.0535,Cluster 1,-117.2689
33.0067,Cluster 1,-117.069
32.9756,Cluster 1,-117.0402
32.9161,Cluster 1,-117.1402
32.8486,Cluster 1,-116.9862
32.8239,Cluster 1,-117.1965
32.7958,Cluster 1,-117.0707
32.7928,Cluster 1,-116.9665
32.7893,Cluster 1,-115.5665
32.7635,Cluster 1,-117.2028
32.7332,Cluster 1,-117.0326
32.697,Cluster 1,-117.1153
32.6371,Cluster 1,-117.0676
32.6315,Cluster 1,-116.9408
32.5753,Cluster 1,-117.0707
