,store_name,state,city,zip,store_id,lat,lon
90,Laguna-Niguel,CA,Laguna-Niguel,92677,1077,33.5145,-117.7084
91,Elk-Grove,CA,Elk-Grove,95758,6674,38.4243,-121.437
92,N-Oceanside,CA,Oceanside,92057,1018,33.2407,-117.3025
93,Delano,CA,Delano,93215,8426,35.7715,-119.2459
94,Merced,CA,Merced,95341,6618,37.2308,-120.5144
95,Imperial-Marketplace,CA,San-Diego,92113,1032,32.697,-117.1153
96,Union-City,CA,Union-City,94587,635,37.5895,-122.0497
97,Brentwood-CA,CA,Brentwood,94513,1076,37.9324,-121.6894
98,Pomona,CA,Pomona,91766,6645,34.0418,-117.7569
99,E-Palmdale,CA,Palmdale,93552,6883,34.5715,-118.0231
100,Huntington-Beach,CA,Huntington-Beach,92646,6963,33.6654,-117.9686
101,Santa-Clara,CA,Santa-Clara,95050,630,37.3492,-121.953
102,San-Fernando,CA,San-Fernando,91340,609,34.2875,-118.4352
103,W-Milpitas,CA,Milpitas,95035,1041,37.4352,-121.895
104,N-Fresno,CA,Fresno,93720,1014,36.8579,-119.7655
105,Vallejo,CA,Vallejo,94591,633,38.0985,-122.2124
106,San-Leandro,CA,San-Leandro,94577,625,37.7205,-122.1587
107,Upland,CA,Upland,91786,687,34.1144,-117.6583
108,Napa,CA,Napa,94559,6652,38.2904,-122.2841
109,S-Corona,CA,Corona,92881,6665,33.8241,-117.5198
110,Encinitas,CA,Encinitas,92024,660,33.0535,-117.2689
111,Truxel-Rd,CA,Sacramento,95834,6649,38.6383,-121.5072
112,Sports-Arena,CA,San-Diego,92110,674,32.7635,-117.2028
113,Victorville,CA,Victorville,92395,665,34.5016,-117.2944
114,Redlands,CA,Redlands,92374,1013,34.065,-117.1672
115,Chula-Vista,CA,Chula-Vista,91910,658,32.6371,-117.0676
116,Placerville,CA,Placerville,95667,1085,38.7195,-120.8046
117,Carson,CA,Carson,90745,6670,33.823,-118.2684
118,Canoga-Park,CA,Canoga-Park,91304,612,34.2197,-118.6111
119,Tracy,CA,Tracy,95304,1020,37.7319,-121.4096
120,Alhambra,CA,Alhambra,91803,6610,34.0745,-118.1434
121,Meadowview,CA,Sacramento,95832,1003,38.4695,-121.4883
122,Covina,CA,Covina,91722,1845,34.0972,-117.9065
123,Windsor-CA,CA,Windsor,95492,6667,38.5443,-122.8073
124,W-Inglewood,CA,Inglewood,90301,6855,33.955,-118.3556
125,Orange-k-CA,CA,Orange,92865,6965,33.8263,-117.8511
126,San-Luis-Obispo,CA,San-Luis-Obispo,93405,1052,35.2901,-120.6817
127,Huntington-Beach-II,CA,Huntington-Beach,92647,6646,33.721,-118.0033
128,Glendora,CA,Glendora,91740,6617,34.1287,-117.8552
129,Yucca-Valley,CA,Yucca-Valley,92284,6971,34.1559,-116.4313
130,Hanford,CA,Hanford,93230,1073,36.3314,-119.6491
131,Moreno-Valley-II,CA,Moreno-Valley,92551,1087,33.8814,-117.2261
132,Murrieta,CA,Murrieta,92562,668,33.5631,-117.2738
133,Gardena,CA,Gardena,90248,611,33.8766,-118.2835
134,Ukiah,CA,Ukiah,95482,8408,39.1552,-123.1951
135,Auburn-CA,CA,Auburn,95603,8597,38.9115,-121.08
136,Torrance,CA,Torrance,90505,618,33.8106,-118.3507
137,Moreno-Valley,CA,Moreno-Valley,92557,616,33.9553,-117.2457
138,Martinez,CA,Martinez,94553,1380,37.9864,-122.135
139,Los-Banos,CA,Los-Banos,93635,8427,37.0627,-120.8544
140,Sw-Bakersfield,CA,Bakersfield,93313,6687,35.2974,-119.0509
141,North-Fontana,CA,Fontana,92336,6960,34.1173,-117.4378
142,Watsonville,CA,Watsonville,95076,1069,36.9102,-121.7569
143,Goleta,CA,Goleta,93117,6623,34.4296,-119.8612
144,Lancaster,CA,Lancaster,93534,6651,34.6909,-118.1491
145,Rancho-Mirage,CA,Rancho-Mirage,92270,667,33.7643,-116.4225
146,Burbank,CA,Burbank,91502,6654,34.1745,-118.3059
147,Panorama-City,CA,Panorama-City,91402,6644,34.2262,-118.447
148,S-Fresno,CA,Fresno,93727,1086,36.7528,-119.7061
149,La-Mirada,CA,La-Mirada,90638,684,33.9067,-118.0101
150,San-Carlos,CA,San-Carlos,94070,628,37.4969,-122.2674
151,Anaheim,CA,Anaheim,92801,6647,33.8428,-117.9546
152,El-Cajon-r676,CA,El-Cajon,92020,1848,32.7928,-116.9665
153,Santee,CA,Santee,92071,673,32.8486,-116.9862
154,San-Marcos,CA,San-Marcos,92069,6656,33.1444,-117.1697
155,San-Rafael,CA,San-Rafael,94901,657,37.9691,-122.5105
156,Stanford-Ranch,CA,Roseville,95678,6688,38.7609,-121.2867
157,Fremont,CA,Fremont,94538,6636,37.5308,-121.9712
158,Hyde-Park,CA,Los-Angeles,90047,1039,33.9569,-118.3073
159,South-Chino,CA,Chino,91710,6876,34.0125,-117.6844
160,Rialto,CA,Rialto,92376,6683,34.1132,-117.3771
161,Genesee,CA,San-Diego,92117,680,32.8239,-117.1965
162,Lodi-CA,CA,Lodi,95240,6660,38.1222,-121.2555
163,ManteCA,CA,Manteca,95336,1006,37.8134,-121.2132
164,Cypress-Park,CA,Los-Angeles,90065,6689,34.1073,-118.2266
165,Orange-CA,CA,Orange,92867,615,33.811,-117.8493
166,Ne-Bakersfield,CA,Bakersfield,93306,1060,35.3867,-118.9391
167,Fairmount-Ave,CA,San-Diego,92120,6634,32.7958,-117.0707
168,El-Centro,CA,El-Centro,92243,1059,32.7893,-115.5665
169,Carmichael,CA,Carmichael,95608,650,38.6284,-121.3287
