store_name,state,city,zip,store_id,lat,lon
Portsmouth-VA,VA,Chesapeake,23321,4622,36.8012,-76.423
Olympia,WA,Olympia,98501,4708,47.0129,-122.8763
Madison-MS,MS,Madison,39110,2912,32.4671,-90.1087
Missouri-City,TX,Missouri-City,77459,6546,29.5704,-95.5423
Cold-Spring,KY,Cold-Spring,41076,2323,39.0262,-84.4408
Plymouth-Township,PA,Conshohocken,19428,4106,40.0825,-75.3044
Central-Omaha,NE,Omaha,68134,3202,41.2949,-96.0546
Miamisburg,OH,Dayton,45449,3857,39.6651,-84.2401
Bellingham-WA,WA,Bellingham,98226,4715,48.7974,-122.4448
Machesney-Park,IL,Machesney-Park,61115,1956,42.3545,-89.0397
Spring-Hill,FL,Spring-Hill,34606,281,28.4655,-82.5981
Waltham,MA,Waltham,02451,2674,42.3986,-71.2451
Douglasville,GA,Douglasville,30135,143,33.6989,-84.7454
S-Akron,OH,Akron,44312,3830,41.0334,-81.4385
Lewiston,ID,Lewiston,83501,1808,46.3646,-116.8609
Celebration-Station,VA,Virginia-Beach,23452,4614,36.8348,-76.0961
Fridley,MN,Fridley,55432,2802,45.095,-93.2396
Idaho-Falls,ID,Idaho-Falls,83404,1802,43.475,-112.0124
East-Irvine,CA,Irvine,92620,8525,33.7009,-117.7564
Somerville,MA,Somerville,02145,2667,42.3907,-71.0929
Perris,CA,Perris,92570,6875,33.7852,-117.3166
Johnstown,PA,Johnstown,15904,4128,40.285,-78.8654
Batavia,NY,Batavia,14020,6168,43.0003,-78.1929
Parker,CO,Parker,80134,1516,39.4895,-104.8447
Mundelein,IL,Mundelein,60060,6981,42.2636,-88.0048
Evergreen,CO,Evergreen,80439,1535,39.6374,-105.3402
Scottsdale,AZ,Scottsdale,85250,457,33.5218,-111.9049
S-Overland-Park,KS,Overland-Park,66223,2209,38.8619,-94.661
Hilton-Head,SC,Bluffton,29910,1115,32.2513,-80.8721
Peachtree-City,GA,Peachtree-City,30269,164,33.3915,-84.5635
Southside,FL,Jacksonville,32256,226,30.2214,-81.5571
Richfield-MN,MN,Richfield,55423,2845,44.8756,-93.2553
Chalmette,LA,Chalmette,70043,373,29.9466,-89.9611
Commack,NY,Commack,11725,1202,40.843,-73.2799
Smithtown,NY,Commack,11725,6167,40.843,-73.2799
Rancho-Cucamonga,CA,Rancho-Cucamonga,91730,645,34.107,-117.5941
Rochester-MN,MN,Rochester,55901,2826,44.0496,-92.4896
Montrose,CO,Montrose,81401,1537,38.4678,-107.8752
Jamaica,NY,Jamaica,11433,6928,40.6969,-73.7877
S-Riding,VA,Chantilly,20152,8551,38.8976,-77.5092
N-Frisco,TX,Frisco,75033,6513,33.2559,-96.8853
Jacksonville-Beach,FL,Jacksonville-Beach,32250,6974,30.2801,-81.4165
Pocatello,ID,Chubbuck,83202,1807,42.9357,-112.4679
Maplewood,MN,Maplewood,55109,2801,45.0132,-93.0297
Euclid,OH,Euclid,44119,3852,41.5882,-81.5468
Cypress,CA,Cypress,90630,6650,33.8181,-118.0357
Windsor-Park,TX,San-Antonio,78239,580,29.5182,-98.3627
Bridgepoint,TX,Corpus-Christi,78415,6584,27.7262,-97.4078
N-Redmond,OR,Redmond,97756,4032,44.2767,-121.1896
Hurstborne-Rd,KY,Louisville,40220,2301,38.2149,-85.6245
Wilshire-Union,CA,Los-Angeles,90017,1048,34.0559,-118.2666
Natick,MA,Natick,01760,2669,42.2875,-71.3574
Kentwood,MI,Grand-Rapids,49512,2715,42.8802,-85.5352
Wausau,WI,Wausau,54401,4931,44.9654,-89.7066
Arnold,MO,Arnold,63010,3014,38.4305,-90.387
